time;V(/HPF);
0.0100018;-4.57079;
0.0100118;-5.05504;
0.0100218;-5.5174;
0.0100318;-5.95585;
0.0100418;-6.36851;
0.0100518;-6.7536;
0.0100618;-7.10945;
0.0100718;-7.43453;
0.0100818;-7.72744;
0.0100918;-7.98692;
0.0101018;-8.21177;
0.0101058;-8.28943;
0.0101075;-8.3179;
0.0101093;-8.34205;
0.0101113;-8.36161;
0.0101138;-8.37975;
0.0101166;-8.39309;
0.0101199;-8.40418;
0.0101248;-8.41465;
0.0101312;-8.42342;
0.0101412;-8.43114;
0.0101512;-8.43487;
0.0101612;-8.43593;
0.0101712;-8.4346;
0.0101812;-8.43046;
0.0101912;-8.42187;
0.0102012;-8.40275;
0.0102054;-8.38487;
0.0102077;-8.36743;
0.0102089;-8.35408;
0.0102098;-8.3411;
0.0102108;-8.32388;
0.0102112;-8.3152;
0.0102119;-8.30159;
0.0102127;-8.28654;
0.0102135;-8.27099;
0.010215;-8.23926;
0.0102169;-8.20069;
0.0102194;-8.1473;
0.0102217;-8.09579;
0.0102256;-8.00314;
0.01023;-7.8918;
0.0102368;-7.70944;
0.0102468;-7.41249;
0.0102568;-7.08347;
0.0102668;-6.72387;
0.0102768;-6.3352;
0.0102868;-5.9192;
0.0102968;-5.47761;
0.0103068;-5.0124;
0.0103168;-4.52555;
0.0103268;-4.01921;
0.0103368;-3.49552;
0.0103468;-2.95679;
0.0103568;-2.40533;
0.0103617;-2.13027;
0.0103648;-1.95789;
0.0103665;-1.86181;
0.0103684;-1.75585;
0.0103702;-1.65078;
0.0103722;-1.54039;
0.0103761;-1.31947;
0.0103795;-1.12433;
0.0103832;-0.915585;
0.0103877;-0.65684;
0.0103934;-0.331947;
0.0104011;0.106733;
0.0104111;0.681796;
0.0104171;1.03084;
0.0104203;1.21627;
0.0104225;1.34041;
0.0104243;1.44429;
0.010426;1.54255;
0.0104279;1.64759;
0.0104289;1.70285;
0.0104302;1.77627;
0.0104312;1.8383;
0.0104325;1.90732;
0.010434;1.99165;
0.0104357;2.08669;
0.0104389;2.27052;
0.0104424;2.46054;
0.0104462;2.6749;
0.0104526;3.02252;
0.0104589;3.3612;
0.0104685;3.8648;
0.0104785;4.3745;
0.0104885;4.86521;
0.0104985;5.33481;
0.0105085;5.78128;
0.0105185;6.20269;
0.0105285;6.59721;
0.0105385;6.96316;
0.0105485;7.29893;
0.0105585;7.60309;
0.0105685;7.87432;
0.0105785;8.11146;
0.010584;8.22764;
0.0105872;8.28817;
0.0105888;8.31335;
0.0105903;8.33487;
0.0105922;8.35503;
0.0105949;8.37579;
0.0105977;8.39043;
0.0106009;8.40146;
0.0106054;8.41198;
0.0106115;8.42091;
0.0106209;8.42887;
0.0106309;8.43302;
0.0106409;8.43426;
0.0106509;8.43296;
0.0106609;8.42866;
0.0106709;8.41958;
0.0106809;8.39865;
0.0106847;8.38053;
0.0106868;8.36329;
0.0106879;8.35014;
0.010689;8.33374;
0.01069;8.31572;
0.0106906;8.30531;
0.0106913;8.29098;
0.0106923;8.27069;
0.0106936;8.24571;
0.0106958;8.20095;
0.0106979;8.156;
0.0107012;8.08315;
0.0107046;8.00518;
0.0107093;7.88846;
0.0107155;7.72618;
0.0107235;7.49346;
0.0107335;7.17581;
0.0107435;6.82709;
0.0107535;6.4489;
0.0107635;6.04281;
0.0107735;5.61064;
0.0107835;5.15422;
0.0107935;4.67556;
0.0108035;4.17671;
0.0108135;3.65986;
0.0108235;3.12722;
0.0108335;2.58113;
0.0108435;2.02394;
0.0108471;1.82256;
0.0108494;1.69489;
0.0108512;1.58854;
0.0108531;1.48025;
0.0108562;1.30479;
0.0108595;1.12108;
0.0108634;0.898315;
0.0108672;0.683966;
0.010872;0.407745;
0.0108781;0.0588747;
0.0108861;-0.40369;
0.0108936;-0.834054;
0.010897;-1.02779;
0.0108994;-1.16483;
0.0109013;-1.27585;
0.0109032;-1.38241;
0.0109053;-1.49991;
0.0109063;-1.5588;
0.0109077;-1.63894;
0.0109091;-1.71543;
0.0109105;-1.79456;
0.0109126;-1.91466;
0.0109145;-2.02449;
0.0109169;-2.15719;
0.0109196;-2.30635;
0.0109225;-2.46832;
0.0109267;-2.69954;
0.0109309;-2.92807;
0.0109367;-3.24359;
0.0109436;-3.60603;
0.0109526;-4.07508;
0.0109626;-4.57583;
0.0109726;-5.0567;
0.0109826;-5.51564;
0.0109926;-5.95064;
0.0110026;-6.35984;
0.0110126;-6.74147;
0.0110226;-7.09387;
0.0110326;-7.41553;
0.0110426;-7.70506;
0.0110526;-7.96121;
0.0110626;-8.18286;
0.0110668;-8.26429;
0.0110687;-8.29737;
0.0110702;-8.31962;
0.0110718;-8.33993;
0.0110735;-8.3574;
0.0110763;-8.37768;
0.0110791;-8.39118;
0.0110825;-8.40232;
0.0110872;-8.41232;
0.0110937;-8.42125;
0.0111019;-8.42771;
0.0111119;-8.43168;
