time;V(/BPF);
0.010008;-2.55815;
0.010018;-2.041;
0.0100228;-1.79083;
0.010026;-1.62236;
0.0100282;-1.50497;
0.0100305;-1.38051;
0.0100343;-1.18147;
0.0100376;-1.00462;
0.0100415;-0.798562;
0.010046;-0.557387;
0.0100515;-0.260833;
0.010059;0.137544;
0.0100686;0.652753;
0.0100744;0.957889;
0.0100775;1.12696;
0.0100798;1.2477;
0.0100816;1.34393;
0.0100836;1.44884;
0.0100857;1.56258;
0.0100873;1.64333;
0.010089;1.73708;
0.010091;1.84221;
0.0100933;1.95827;
0.0100977;2.18905;
0.0101018;2.40053;
0.01011;2.81792;
0.01012;3.31636;
0.01013;3.80018;
0.01014;4.26728;
0.01015;4.71559;
0.01016;5.14318;
0.01017;5.54816;
0.01018;5.92877;
0.01019;6.28334;
0.0102;6.61034;
0.01021;6.90832;
0.01022;7.17599;
0.01023;7.41218;
0.01024;7.61587;
0.01025;7.78616;
0.01026;7.92233;
0.01027;8.02376;
0.01028;8.09004;
0.01029;8.12087;
0.0103;8.11612;
0.01031;8.07583;
0.01032;8.00017;
0.01033;7.88948;
0.01034;7.74425;
0.01035;7.56513;
0.01036;7.3529;
0.01037;7.10851;
0.01038;6.83302;
0.01039;6.52764;
0.0104;6.19373;
0.01041;5.83275;
0.01042;5.44628;
0.01043;5.03603;
0.01044;4.60378;
0.01045;4.15145;
0.01046;3.68102;
0.01047;3.19454;
0.01048;2.69416;
0.01049;2.18206;
0.0105;1.66051;
0.010504;1.44695;
0.0105068;1.30019;
0.0105098;1.14181;
0.0105139;0.921261;
0.010518;0.704897;
0.0105219;0.497445;
0.0105269;0.230376;
0.0105328;-0.0846342;
0.0105408;-0.514646;
0.0105456;-0.768507;
0.0105487;-0.932548;
0.0105509;-1.05086;
0.010553;-1.16139;
0.0105552;-1.27781;
0.0105579;-1.42043;
0.0105599;-1.52403;
0.010562;-1.63838;
0.0105646;-1.77251;
0.0105673;-1.91663;
0.0105729;-2.20284;
0.0105785;-2.4906;
0.0105885;-2.99493;
0.0105985;-3.48604;
0.0106085;-3.96178;
0.0106185;-4.42007;
0.0106285;-4.8589;
0.0106385;-5.27636;
0.0106485;-5.67061;
